Listing Title,Monthly Costs,Availability,Size,Deposit,Key Price,Floor,Year Built,Nearest Station
"1K APARTMENT
IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO","Monthly Costs ¥89,540",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor B9 / 3F,Year Built 2004,Nearest Station Shinotsuka Station (5 min. walk)
"1K APARTMENT
IN NISHIKAMATA
OTA-KU, TOKYO","Monthly Costs ¥95,050",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥43,750",Floor 4 / 4F,Year Built 2009,Nearest Station Hasunuma Station (5 min. walk)
"1K APARTMENT
IN TAKENOTSUKA
ADACHI-KU, TOKYO","Monthly Costs ¥70,050",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2004,Nearest Station Take No Tsuka Station (8 min. walk)
"1K APARTMENT
IN NISHISUGAMO
TOSHIMA-KU, TOKYO","Monthly Costs ¥91,050",Available Now,Size 20.28 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 3F,Year Built 2002,Nearest Station Sugamoshinden Station (2 min. walk)
"1R APARTMENT
IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥119,897","Available From Mar 1, 2021",Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 2021,Nearest Station Waseda Station (7 min. walk)
"1K APARTMENT
IN KAMITAKADA
NAKANO-KU, TOKYO","Monthly Costs ¥84,540",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 2006,Nearest Station Nakano Station (12 min. walk)
"1K APARTMENT
IN MINAMIENOKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥84,040",Available Now,Size 14.49 m²,Deposit ¥0,"Key Money ¥79,500",Floor 1 / 2F,Year Built 1991,Nearest Station Ushigome Yanagicho Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN TAGARA
NERIMA-KU, TOKYO","Monthly Costs ¥73,540",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2008,Nearest Station Hikarigaoka Station (9 min. walk)
"1K APARTMENT
IN MINAMIAZABU
MINATO-KU, TOKYO","Monthly Costs ¥150,000",Available Now,Size 26.33 m²,Deposit ¥0,Key Money ¥0,Floor 8 / 9F,Year Built 2007,Nearest Station Azabu-juban Station (8 min. walk)
"1K APARTMENT
IN KOSUGE
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥74,040",Available Now,Size 23.18 m²,Deposit ¥0,"Key Money ¥69,500",Floor 1 / 3F,Year Built 2008,Nearest Station Horikirishobuen Station (10 min. walk)
"1LDK APARTMENT
IN HIROO
SHIBUYA-KU, TOKYO","Monthly Costs ¥205,000",Available Now,Size 42.64 m²,"Deposit ¥390,000","Key Money ¥195,000",Floor 11 / 12F,Year Built 2005,Nearest Station Hiroo Station (7 min. walk)
"1K APARTMENT
IN CHUO
NAKANO-KU, TOKYO","Monthly Costs ¥74,540",Available Now,Size 13.50 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1987,Nearest Station Shinnakano Station (6 min. walk)
"1K APARTMENT
IN TOWA
ADACHI-KU, TOKYO","Monthly Costs ¥68,550",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2003,Nearest Station Kitaayase Station (10 min. walk)
"1K APARTMENT
IN KAMIKITADAI
HIGASHIYAMATO-SHI, TOKYO","Monthly Costs ¥66,550",Available Now,Size 23.18 m²,Deposit ¥0,"Key Money ¥30,750",Floor 2 / 2F,Year Built 2002,Nearest Station Sakurakouji Michi Station (2 min. walk)
"1K APARTMENT
IN HATAGAYA
SHIBUYA-KU, TOKYO","Monthly Costs ¥104,050",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥49,250",Floor 3 / 3F,Year Built 2007,Nearest Station Hatagaya Station (3 min. walk)
"1R APARTMENT
IN HIGASHISHINAGAWA
SHINAGAWA-KU, TOKYO","Monthly Costs ¥60,000",Available Now,Size 17.21 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 5F,Year Built 2018,Nearest Station Shinbanba Station (6 min. walk)
"1K APARTMENT
IN NISHIDAI(1-CHOME)
ITABASHI-KU, TOKYO","Monthly Costs ¥69,540",Available Now,Size 22.35 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2008,Nearest Station Tōbu-nerima Station (12 min. walk)
"1K APARTMENT
IN OGI
ADACHI-KU, TOKYO","Monthly Costs ¥65,550",Available Now,Size 23.61 m²,Deposit ¥0,"Key Money ¥30,000",Floor 2 / 2F,Year Built 2007,Nearest Station Ougi Ohashi Station (6 min. walk)
"1K APARTMENT
IN OGIKUBO
SUGINAMI-KU, TOKYO","Monthly Costs ¥93,040",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥88,500",Floor 3 / 3F,Year Built 2008,Nearest Station Minami Asagaya Station (13 min. walk)
"1LDK APARTMENT
IN KOENJIMINAMI
SUGINAMI-KU, TOKYO","Monthly Costs ¥136,000",Available Now,Size 41.01 m²,"Deposit ¥136,000",Key Money ¥0,Floor 1 / 3F,Year Built 1999,Nearest Station Nakano Station (8 min. walk)
"1K APARTMENT
IN HIGASHIOI
SHINAGAWA-KU, TOKYO","Monthly Costs ¥108,540",Available Now,Size 26.68 m²,Deposit ¥0,"Key Money ¥51,500",Floor 1 / 2F,Year Built 2014,Nearest Station Tachiaigawa Station (3 min. walk)
"1K APARTMENT
IN IZUMI
SUGINAMI-KU, TOKYO","Monthly Costs ¥88,550",Available Now,Size 23.18 m²,Deposit ¥0,"Key Money ¥41,500",Floor 2 / 2F,Year Built 2003,Nearest Station Daitabashi Station (11 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN SOSHIGAYA
SETAGAYA-KU, TOKYO","Monthly Costs ¥82,050",Available Now,Size 19.73 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2007,Nearest Station Soshigaya Okura Station (11 min. walk)
"1LDK APARTMENT
IN NISHIWASEDA(SONOTA)
SHINJUKU-KU, TOKYO","Monthly Costs ¥93,050",Available Now,Size 28.08 m²,Deposit ¥0,"Key Money ¥43,750",Floor 1 / 2F,Year Built 1991,Nearest Station Omokagebashi Station (4 min. walk)
"1DK TOWN HOUSE
IN SUGAMO
TOSHIMA-KU, TOKYO","Monthly Costs ¥62,000",Available Now,Size 25.00 m²,"Deposit ¥60,000","Key Money ¥60,000",Floor 2 / 2F,Year Built 1985,Nearest Station Komagome Station (8 min. walk)
"1LDK APARTMENT
IN MINAMIAOYAMA
MINATO-KU, TOKYO","Monthly Costs ¥259,000",Available Now,Size 52.08 m²,"Deposit ¥498,000",Key Money ¥0,Floor 6 / 15F,Year Built 2008,Nearest Station Nogizaka Station (2 min. walk)
"1R APARTMENT
IN OHARA
SETAGAYA-KU, TOKYO","Monthly Costs ¥135,000",Available Now,Size 13.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 5F,Year Built 2019,Nearest Station Daitabashi Station (3 min. walk)
"1LDK APARTMENT
IN SHIMOSHAKUJII
NERIMA-KU, TOKYO","Monthly Costs ¥103,540",Available Now,Size 40.26 m²,"Deposit ¥99,000","Key Money ¥49,500",Floor 2 / 2F,Year Built 2009,Nearest Station Nerima Takanodai Station (14 min. walk)
"1R APARTMENT
IN MINAMIAZABU
MINATO-KU, TOKYO","Monthly Costs ¥163,000",Available Now,Size 38.36 m²,"Deposit ¥153,000",Key Money ¥0,Floor 4 / 12F,Year Built 2004,Nearest Station Azabu-juban Station (8 min. walk)
"1K APARTMENT
IN UKIMA
KITA-KU, TOKYO","Monthly Costs ¥73,040",Available Now,Size 23.61 m²,Deposit ¥0,"Key Money ¥67,500",Floor 1 / 2F,Year Built 2008,Nearest Station Ukimafunado Station (11 min. walk)
"1K APARTMENT
IN TSURUMA
MACHIDA-SHI, TOKYO","Monthly Costs ¥58,550",Available Now,Size 23.71 m²,Deposit ¥0,"Key Money ¥26,500",Floor 1 / 2F,Year Built 2004,Nearest Station Minami Machida Station (19 min. walk)
"1LDK APARTMENT
IN ROPPONGI
MINATO-KU, TOKYO","Monthly Costs ¥320,000",Available Now,Size 67.17 m²,"Deposit ¥640,000",Key Money ¥0,Floor 3 / 27F,Year Built 2006,Nearest Station Roppongi Station (4 min. walk)
"2LDK APARTMENT
IN HOMMACHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥227,000",Available Now,Size 55.62 m²,"Deposit ¥430,000",Key Money ¥0,Floor 8 / 13F,Year Built 2011,Nearest Station Nishishinjuku Go Choume Station (7 min. walk)
"1K APARTMENT
IN NAKAJUJO
KITA-KU, TOKYO","Monthly Costs ¥89,540",Available Now,Size 28.29 m²,Deposit ¥0,"Key Money ¥43,000",Floor 2 / 2F,Year Built 2012,Nearest Station Higashijujo Station (5 min. walk)
"1K APARTMENT
IN MINAMIKOIWA
EDOGAWA-KU, TOKYO","Monthly Costs ¥67,050",Available Now,Size 17.30 m²,Deposit ¥0,"Key Money ¥30,750",Floor 1 / 2F,Year Built 1993,Nearest Station Koiwa Station (6 min. walk)
"1LDK APARTMENT
IN AKASAKA
MINATO-KU, TOKYO","Monthly Costs ¥294,000 negotiable",Available Now,Size 51.11 m²,"Deposit ¥279,000",Key Money ¥0,Floor 14 / 18F,Year Built 2008,Nearest Station Akasaka Station (6 min. walk)
"1R APARTMENT
IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥119,897","Available From Mar 1, 2021",Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 2021,Nearest Station Waseda Station (7 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN TAKAKURAMACHI
HACHIOJI-SHI, TOKYO","Monthly Costs ¥68,540",Available Now,Size 23.56 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 1F,Year Built 2017,Nearest Station Kita Hachioji Station (5 min. walk)
"3LDK APARTMENT
IN IRIFUNE
CHUO-KU, TOKYO","Monthly Costs ¥363,600","Available From Feb 28, 2021",Size 71.74 m²,"Deposit ¥350,000",Key Money ¥0,Floor 13 / 13F,Year Built 2020,Nearest Station Hacchoubori Station (3 min. walk)
"1K APARTMENT
IN MIDORI
SUMIDA-KU, TOKYO","Monthly Costs ¥106,540",Available Now,Size 20.81 m²,Deposit ¥0,"Key Money ¥49,500",Floor 2 / 3F,Year Built 2008,Nearest Station Ryogoku Station (3 min. walk)
"1K APARTMENT
IN OKUDO
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥75,540",Available Now,Size 21.17 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2014,Nearest Station Keiseitateishi Station (19 min. walk)
"1R APARTMENT
IN MINAMINAGASAKI
TOSHIMA-KU, TOKYO","Monthly Costs ¥62,361",Available Now,Size 16.38 m²,"Deposit ¥55,500",Key Money ¥0,Floor 2 / 4F,Year Built 1989,Nearest Station Ochiaiminami Nagasaki Station (5 min. walk)
"1LDK APARTMENT
IN EBISU
SHIBUYA-KU, TOKYO","Monthly Costs ¥227,700",Available Now,Size 40.16 m²,"Deposit ¥219,000","Key Money ¥219,000",Floor 7 / 14F,Year Built 2010,Nearest Station Ebisu Station (1 min. walk)
"1LDK APARTMENT
IN YUTENJI
MEGURO-KU, TOKYO","Monthly Costs ¥199,000",Available Now,Size 47.60 m²,"Deposit ¥190,000","Key Money ¥190,000",Floor 3 / 5F,Year Built 2016,Nearest Station Yutenji Station (4 min. walk)
"2LDK APARTMENT
IN IWADO MINAMI
KOMAE-SHI, TOKYO","Monthly Costs ¥122,050",Available Now,Size 54.62 m²,"Deposit ¥116,500","Key Money ¥116,500",Floor 2 / 2F,Year Built 2014,Nearest Station Kitami Station (19 min. walk)
"1K APARTMENT
IN SETA
SETAGAYA-KU, TOKYO","Monthly Costs ¥92,040",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥86,500",Floor 2 / 2F,Year Built 2004,Nearest Station Youga Station (9 min. walk)
"1R APARTMENT
IN TAKADA
TOSHIMA-KU, TOKYO","Monthly Costs ¥60,000",Available Now,Size 17.40 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 4F,Year Built 1989,Nearest Station Zoushigaya Station (3 min. walk)
"2SLDK HOUSE
IN HIGASHINAKANO
NAKANO-KU, TOKYO","Monthly Costs ¥179,000",Available Now,Size 63.87 m²,"Deposit ¥358,000","Key Money ¥179,000",Not Available,Year Built 1979,Nearest Station Higashinakano Station (4 min. walk)
"1R APARTMENT
IN SUMIYOSHICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥79,000",Available Now,Size 20.25 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 5F,Year Built 1981,Nearest Station Akebonobashi Station (2 min. walk)
"1LDK APARTMENT
IN OMORIMINAMI
OTA-KU, TOKYO","Monthly Costs ¥115,050",Available Now,Size 41.63 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 4F,Year Built 2008,Nearest Station Shouwajima Station (12 min. walk)
"1LDK APARTMENT
IN SHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥319,000","Available From Feb 28, 2021",Size 56.39 m²,"Deposit ¥638,000",Key Money ¥0,Floor 3 / 4F,Year Built 2012,Nearest Station Higashi-Shinjuku Station (3 min. walk)
"1K APARTMENT
IN NISHI
KUNITACHI-SHI, TOKYO","Monthly Costs ¥72,040",Available Now,Size 20.28 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 2009,Nearest Station Yagawa Station (13 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN TAITO
TAITO-KU, TOKYO","Monthly Costs ¥126,500",Available Now,Size 26.19 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 10F,Year Built 2019,Nearest Station Okachimachi Station (8 min. walk)
"1K APARTMENT
IN MINAMIHANAHATA
ADACHI-KU, TOKYO","Monthly Costs ¥70,050",Available Now,Size 26.08 m²,Deposit ¥0,"Key Money ¥32,250",Floor 2 / 2F,Year Built 2003,Nearest Station Rokucho Station (13 min. walk)
"1K APARTMENT
IN UKIMA
KITA-KU, TOKYO","Monthly Costs ¥69,550",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥32,000",Floor 2 / 2F,Year Built 2004,Nearest Station Ukimafunado Station (10 min. walk)
"1LDK APARTMENT
IN SHIBASAKI
CHOFU-SHI, TOKYO","Monthly Costs ¥105,540",Available Now,Size 44.71 m²,"Deposit ¥100,000","Key Money ¥50,000",Floor 3 / 3F,Year Built 2014,Nearest Station Shibazaki Station (11 min. walk)
"1K APARTMENT
IN AOYAGI
KUNITACHI-SHI, TOKYO","Monthly Costs ¥61,550",Available Now,Size 20.28 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2008,Nearest Station Nishikunitachi Station (14 min. walk)
"2LDK APARTMENT
IN NISHIAYASE
ADACHI-KU, TOKYO","Monthly Costs ¥102,240",Available Now,Size 55.68 m²,"Deposit ¥85,600",Key Money ¥0,Floor 5 / 7F,Year Built 2001,Nearest Station Gotanno Station (7 min. walk)
"1K APARTMENT
IN WASEDA MINAMICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥108,550",Available Now,Size 30.43 m²,"Deposit ¥103,000","Key Money ¥51,500",Floor 2 / 2F,Year Built 2011,Nearest Station Waseda Station (5 min. walk)
"1LDK APARTMENT
IN JINGUMAE
SHIBUYA-KU, TOKYO","Monthly Costs ¥235,000",Available Now,Size 59.48 m²,"Deposit ¥450,000","Key Money ¥225,000",Floor 3 / 5F,Year Built 1998,Nearest Station Meiji Jingumae Station (7 min. walk)
"1K APARTMENT
IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO","Monthly Costs ¥79,540",Available Now,Size 20.10 m²,Deposit ¥0,"Key Money ¥37,000",Floor 2 / 3F,Year Built 1998,Nearest Station Hakusan Station (9 min. walk)
"1DK APARTMENT
IN DAIKANYAMACHO
SHIBUYA-KU, TOKYO","Monthly Costs ¥150,000",Available Now,Size 36.81 m²,"Deposit ¥150,000","Key Money ¥150,000",Floor 3 / 9F,Year Built 1998,Nearest Station Daikanyama Station (5 min. walk)
"1K APARTMENT
IN KOISHIKAWA
BUNKYO-KU, TOKYO","Monthly Costs ¥78,540",Available Now,Size 19.07 m²,Deposit ¥0,"Key Money ¥36,500",Floor 1 / 2F,Year Built 1991,Nearest Station Myōgadani Station (11 min. walk)
"1LDK APARTMENT
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥194,000",Available Now,Size 40.62 m²,"Deposit ¥370,000",Key Money ¥0,Floor 8 / 12F,Year Built 2007,Nearest Station Sengakuji Station (5 min. walk)
"1K APARTMENT
IN OIZUMIMACHI
NERIMA-KU, TOKYO","Monthly Costs ¥70,550",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥32,500",Floor 2 / 2F,Year Built 2008,Nearest Station Oizumigakuen Station (14 min. walk)
"2LDK APARTMENT
IN HIROO
SHIBUYA-KU, TOKYO","Monthly Costs ¥220,000",Available Now,Size 52.04 m²,"Deposit ¥420,000",Key Money ¥0,Floor 11 / 11F,Year Built 1990,Nearest Station Hiroo Station (5 min. walk)
"1LDK APARTMENT
IN YOGA
SETAGAYA-KU, TOKYO","Monthly Costs ¥214,000",Available Now,Size 48.05 m²,"Deposit ¥396,000","Key Money ¥198,000",Floor 4 / 5F,Year Built 2009,Nearest Station Youga Station (8 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN IKEJIRI
SETAGAYA-KU, TOKYO","Monthly Costs ¥103,040",Available Now,Size 20.28 m²,Deposit ¥0,"Key Money ¥98,500",Floor 2 / 2F,Year Built 2007,Nearest Station Ikejiriohashi Station (4 min. walk)
"1R APARTMENT
IN ZOSHIGAYA
TOSHIMA-KU, TOKYO","Monthly Costs ¥60,000",Available Now,Size 13.85 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 2019,Nearest Station Higashiikebukuro Yon Choume Station (6 min. walk)
"1K APARTMENT
IN MINAMIDAI
NAKANO-KU, TOKYO","Monthly Costs ¥62,540",Available Now,Size 13.35 m²,Deposit ¥0,"Key Money ¥58,000",Floor 2 / 2F,Year Built 1985,Nearest Station Hounanchou Station (9 min. walk)
"3LDK APARTMENT
IN HIGASHIGOKENCHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥300,000 negotiable",Available Now,Size 75.59 m²,"Deposit ¥300,000","Key Money ¥300,000",Floor 9 / 21F,Year Built 2002,Nearest Station Kagurazaka Station (7 min. walk)
"2LDK APARTMENT
IN AKASAKA
MINATO-KU, TOKYO","Monthly Costs ¥265,000",Available Now,Size 50.11 m²,"Deposit ¥500,000",Key Money ¥0,Floor 5 / 11F,Year Built 2013,Nearest Station Akasaka Station (4 min. walk)
"1K APARTMENT
IN ASAHIMACHI
MACHIDA-SHI, TOKYO","Monthly Costs ¥60,540",Available Now,Size 20.03 m²,Deposit ¥0,"Key Money ¥27,500",Floor 1 / 3F,Year Built 2000,Nearest Station Machida Station (16 min. walk)
"1K APARTMENT
IN AKABANE
KITA-KU, TOKYO","Monthly Costs ¥97,050",Available Now,Size 24.08 m²,Deposit ¥0,"Key Money ¥91,000",Floor 10 / 10F,Year Built 2011,Nearest Station Akabane Station (4 min. walk)
"2DK APARTMENT
IN KANAMORI
MACHIDA-SHI, TOKYO","Monthly Costs ¥98,490",Available Now,Size 49.68 m²,"Deposit ¥92,950","Key Money ¥92,950",Floor 2 / 2F,Year Built 2004,Nearest Station Tsukimino Station (19 min. walk)
"1R APARTMENT
IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥123,161","Available From Mar 1, 2021",Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 5F,Year Built 2021,Nearest Station Waseda Station (7 min. walk)
"1LDK APARTMENT
IN FUTABA
SHINAGAWA-KU, TOKYO","Monthly Costs ¥137,540",Available Now,Size 39.74 m²,"Deposit ¥130,000","Key Money ¥65,000",Floor 4 / 4F,Year Built 2007,Nearest Station Shimoshinmei Station (4 min. walk)
"3LDK APARTMENT
IN SHIBAURA(2-4-CHOME)
MINATO-KU, TOKYO","Monthly Costs ¥357,000",Available Now,Size 98.60 m²,"Deposit ¥684,000","Key Money ¥342,000",Floor 28 / 29F,Year Built 2005,Nearest Station Shibaura Futou Station (7 min. walk)
"1R APARTMENT
IN AZABUJUBAN
MINATO-KU, TOKYO","Monthly Costs ¥170,000",Available Now,Size 30.61 m²,"Deposit ¥320,000",Key Money ¥0,Floor 7 / 12F,Year Built 1999,Nearest Station Azabu-juban Station (3 min. walk)
"1LDK APARTMENT
IN SHIBA(1-3-CHOME)
MINATO-KU, TOKYO","Monthly Costs ¥178,110",Available Now,Size 37.12 m²,"Deposit ¥166,000","Key Money ¥166,000",Floor 4 / 10F,Year Built 2012,Nearest Station Shibaura Futou Station (8 min. walk)
"1LDK APARTMENT
IN KYODO
SETAGAYA-KU, TOKYO","Monthly Costs ¥139,000",Available Now,Size 40.84 m²,"Deposit ¥132,000",Key Money ¥0,Floor 1 / 3F,Year Built 2015,Nearest Station Kyoudou Station (3 min. walk)
"1K APARTMENT
IN HONCHO
NAKANO-KU, TOKYO","Monthly Costs ¥91,540",Available Now,Size 23.18 m²,Deposit ¥0,"Key Money ¥87,000",Floor 2 / 3F,Year Built 2011,Nearest Station Shinnakano Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN TAGARA
NERIMA-KU, TOKYO","Monthly Costs ¥85,540",Available Now,Size 20.81 m²,Deposit ¥0,"Key Money ¥39,250",Floor 1 / 3F,Year Built 2010,Nearest Station Hikarigaoka Station (9 min. walk)
"1LDK APARTMENT
IN NISHIAZABU
MINATO-KU, TOKYO","Monthly Costs ¥223,000",Available Now,Size 51.73 m²,"Deposit ¥426,000",Key Money ¥0,Floor 3 / 14F,Year Built 2004,Nearest Station Roppongi Station (10 min. walk)
"1LDK APARTMENT
IN SHIBA(1-3-CHOME)
MINATO-KU, TOKYO","Monthly Costs ¥187,000","Available From Mar 10, 2021",Size 40.14 m²,"Deposit ¥354,000","Key Money ¥177,000",Floor 7 / 13F,Year Built 2005,Nearest Station Shibakouen Station (2 min. walk)
"1K APARTMENT
IN MINAMISENJU
ARAKAWA-KU, TOKYO","Monthly Costs ¥90,550",Available Now,Size 42.67 m²,Deposit ¥0,"Key Money ¥42,500",Floor 1 / 3F,Year Built 2017,Nearest Station Minowabashi Station (2 min. walk)
"1K APARTMENT
IN NAKAJUJO
KITA-KU, TOKYO","Monthly Costs ¥81,040",Available Now,Size 20.28 m²,Deposit ¥0,"Key Money ¥76,500",Floor 1 / 2F,Year Built 2007,Nearest Station Higashijujo Station (8 min. walk)
"1R APARTMENT
IN WASEDA TSURUMAKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥123,161","Available From Mar 1, 2021",Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 5F,Year Built 2021,Nearest Station Waseda Station (7 min. walk)
"2DK APARTMENT
IN INADAIRA
MUSASHIMURAYAMA-SHI, TOKYO","Monthly Costs ¥65,050",Available Now,Size 49.20 m²,"Deposit ¥60,000","Key Money ¥30,000",Floor 2 / 2F,Year Built 2009,Nearest Station Seibu Tajikawa Station (27 min. walk)
"2LDK APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥317,000",Available Now,Size 66.47 m²,"Deposit ¥600,000",Key Money ¥0,Floor 15 / 15F,Year Built 2006,Nearest Station Yoyogi Station (2 min. walk)
"1K APARTMENT
IN TAGARA
NERIMA-KU, TOKYO","Monthly Costs ¥87,550",Available Now,Size 32.81 m²,Deposit ¥0,"Key Money ¥41,000",Floor 1 / 2F,Year Built 2016,Nearest Station Chikatetsu Akatsuka Station (13 min. walk)
"1K APARTMENT
IN MOTOMACHI
KIYOSE-SHI, TOKYO","Monthly Costs ¥61,540",Available Now,Size 23.71 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2005,Nearest Station Kiyose Station (12 min. walk)
"2LDK APARTMENT
IN IWADO MINAMI
KOMAE-SHI, TOKYO","Monthly Costs ¥117,040",Available Now,Size 53.28 m²,"Deposit ¥111,500","Key Money ¥111,500",Floor 1 / 2F,Year Built 2014,Nearest Station Komae Station (18 min. walk)
"1K APARTMENT
IN SUGAMO
TOSHIMA-KU, TOKYO","Monthly Costs ¥92,050",Available Now,Size 19.87 m²,Deposit ¥0,"Key Money ¥43,250",Floor 3 / 3F,Year Built 2009,Nearest Station Sugamo Station (6 min. walk)
"1K APARTMENT
IN TAKASAGO
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥71,040",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 2F,Year Built 2004,Nearest Station Keiseitakasago Station (2 min. walk)
"1K APARTMENT
IN NISHIKICHO
TACHIKAWA-SHI, TOKYO","Monthly Costs ¥64,550",Available Now,Size 20.28 m²,Deposit ¥0,"Key Money ¥29,500",Floor 1 / 2F,Year Built 1998,Nearest Station Nishikunitachi Station (12 min. walk)
"3LDK APARTMENT
IN NAKANO
NAKANO-KU, TOKYO","Monthly Costs ¥200,000",Available Now,Size 97.51 m²,"Deposit ¥200,000","Key Money ¥200,000",Floor 2 / 3F,Year Built 1980,Nearest Station Higashinakano Station (7 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1LDK APARTMENT
IN OMINAMI
MUSASHIMURAYAMA-SHI, TOKYO","Monthly Costs ¥74,050",Available Now,Size 47.20 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2015,"Nearest Station 6 min. walk to 西東京街道口 bus stop, then 9 min. by bus to Tamagawajousui Station"
